Month DD Raised,No. of FTE Request Raised,SkillList,Location,Experience Grade,Practice,Skill Group,Demand Source
May,4,Salesforce (Functional),Bangalore,A4,BANK,(F) IT Operations,Account
October,2,"Amazon Web services - Build , Administration and integration",Bhubaneswar,B2,M&FT,(F) IT Operations,Account
March,2,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,,Support
October,1,Test Automation,Bhubaneswar,B2,M&FT,(F) IT Operations,Account
June,2,PMO (Account),Noida,A5,I&D,(D) Banking Sector,Proactive
August,4,Salesforce (Functional),Gurgaon,B1,GP,(T) Data Governance / Master Data Management (MDM),Account
June,1,"Testing Manual,Banking,Test Automation",Noida,A5,I&D,,Support
August,4,"Amazon Web services - Build , Administration and integration",Gurgaon,B1,INS,,Proactive
March,3,Angular.js,Pune,A3,TEST,(F) IT Operations,Support
March,2,Angular.js,Pune,A3,TEST,(F) IT Operations,Proactive
June,2,POSTGRESQL,Noida,A5,ADM,,Support
February,4,Informatica MDM (formerly Syperian),Hyderabad,A2,CFS,(T) Card packages,Account
October,2,Informatica MDM (formerly Syperian),Bhubaneswar,B2,M&FT,(T) Office / Desktop Solutions,Proactive
June,1,Informatica MDM (formerly Syperian),Noida,A5,I&D,(F) Business Management / Management / Executive Management,Support
January,2,Angular.js,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
August,3,Angular.js,Gurgaon,B1,INS,(D) Banking Sector,Proactive
March,3,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
August,1,Java,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
January,1,Java,Chennai,A1,DCX,(T) Card packages,Account
March,3,Test Environment Management,Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Account
June,2,Test Environment Management,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Support
December,4,Selenium,Hartford,C1,ERP,(T) Mainframe Development Technologies,Support
June,3,Selenium,Noida,A5,I&D,,Account
May,3,Quick Test Pro,Bangalore,A4,BANK,"(T) Project Tools, Methodologies and Frameworks",Support
December,2,Selenium,Hartford,C1,ERP,(T) Client Server Development Technologies,Support
February,1,Selenium,Hyderabad,A2,CFS,(F) IT Operations,Account
February,1,CRM - Salesforce.com,Hyderabad,A2,CFS,(T) Card packages,Proactive
August,4,PMO (Project),Gurgaon,B1,GP,(T) Card packages,Support
March,1,MS/Windows Dev OPS,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
March,4,MS/Windows Dev OPS,Pune,A3,TEST,(D) Banking Sector,Account
January,1,MS/Windows Dev OPS,Chennai,A1,DCX,(T) Monitoring Technologies,Account
March,1,MS/Windows Dev OPS,Pune,A3,TEST,(F) IT Operations,Account
December,1,MS/Windows Dev OPS,Hartford,C1,ERP,(F) IT Operations,Account
